ticker,pe_trailing,pe_forward,pb,ev_ebitda,ps,roe,roa,net_margin,operating_margin,gross_margin,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,earnings_growth_q,market_cap,enterprise_value,book_value,dividend_yield,payout_ratio,beta_reported,sector,industry,last_earnings_date,snapshot_date
BAJAJFINSV,32.1518,21.920313,4.1635203,13.219,2.1625836,0.14602,0.04915,0.06534,0.36187,0.51241,256.404,0.221,0.11,0.061,0.059,0.05,3243989794816.0,7398107906048.0,487.352,0.07,0.0164,0.341,Financial Services,Financial Conglomerates,2026-07-31,2026-08-01
BAJAJHLDNG,13.105265,,1.7257584,144.865,112.328354,0.12624,0.0072500003,8.57477,0.42431,0.98908997,0.012,2.655,2.193,-0.483,0.493,0.492,1262402273280.0,1354172071936.0,6572.762,1.46,0.1074,0.126,Financial Services,Asset Management,2026-07-31,2026-08-01
BAJAJHFL,26.631578,19.751192,3.18086,,16.811443,0.12679,,0.63176996,0.80915,0.99292,460.74,,,0.192,0.229,0.226,716431491072.0,1751225466880.0,27.043,,0.0,,Financial Services,Mortgage Finance,,2026-08-01
BALKRISIND,34.014027,24.770483,4.364743,19.521,4.4929647,,,0.1233,0.16359,0.50171,35.269,,,0.069,-0.15,-0.15,478170054656.0,433821974528.0,566.7,0.75,0.2357,0.321,Consumer Cyclical,Auto Parts,2026-07-29,2026-08-01
BALRAMCHIN,31.516129,16.520433,2.8612988,20.244,1.9767045,0.095410004,0.04539,0.060349997,0.14968,0.26497,76.606,1.126,0.061,0.067,-0.307,-0.304,123962032128.0,150062055424.0,204.872,1.17,0.1883,0.318,Consumer Defensive,Confectioners,,2026-08-01
BANDHANBNK,20.754469,8.459656,1.0954052,,2.8228104,,,0.13617,0.23771,0.0,,,,0.216,0.346,0.349,280537038848.0,292647272448.0,158.964,0.86,0.17879999,0.8,Financial Services,Banks - Regional,2026-07-21,2026-08-01
BANKBARODA,6.9057784,5.685014,0.7563665,,1.8923264,0.113170005,0.0093,0.27392,0.45536998,0.0,,,,0.18,-0.486,-0.486,1254572556288.0,2495745622016.0,320.744,3.5,0.24200001,0.421,Financial Services,Banks - Regional,2026-07-24,2026-08-01
BANKINDIA,5.1073675,5.3339777,0.69063056,,1.8656862,0.13697,,0.34992,0.48535,0.0,,,,0.185,0.803,0.805,628040466432.0,761390759936.0,199.745,3.37,0.1722,0.762,Financial Services,Banks - Regional,,2026-08-01
MAHABANK,8.103167,,1.7097353,,4.324529,0.22961001,0.019,0.53409,0.57523,0.0,,,,0.218,0.342,0.345,610171027456.0,848991879168.0,46.399,2.78,0.22469999,0.774,Financial Services,Banks - Regional,,2026-08-01
BATAINDIA,66.68104,32.67434,5.607556,22.176,2.5451453,0.08465999,0.05217,0.03817,0.09245,0.54765,86.9,1.721,0.875,0.05,-0.953,-0.952,89474449408.0,98076090368.0,124.145,1.29,0.8621,0.376,Consumer Cyclical,Footwear & Accessories,2026-08-11,2026-08-01
